items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"15,770","12,842","13,190","12,596",GE
Short Term Investments,"12,297","10,779","6,745","6,297",GE
Cash and Short Term Invs,"28,067","23,621","19,935","18,893",GE
"Trade Accts Recvble, Gross","16,694","17,149","17,221","18,047",GE
Prov. for Doubtful Accts,"(1,074)","(1,099)",(938),(850),GE
"Total Receivables, Net","20,501","20,296","20,524","20,898",GE
Invent. - Finished Goods,"4,927","5,307","5,428","5,147",GE
Invent. - Raw Materials,"8,710","9,155","10,001","10,244",GE
Inventories - Other,"2,210","2,108","2,124","2,145",GE
Total Inventory,"15,847","16,570","17,553","17,536",GE
Discont. Ops.-Curr. Assets,--,747,767,696,GE
Other Current Assets,"1,933","2,065","1,879","2,059",GE
"Other Curr. Assets, Total","1,933","2,812","2,646","2,755",GE
Total Current Assets,"66,348","63,299","60,658","60,082",GE
Prop./Plant/Equip. - Gross,"31,904","31,531","31,257","30,718",GE
Accumulated Depreciation,"(18,901)","(18,935)","(18,857)","(18,705)",GE
Prop./Plant/Equip. - Net,"15,609","15,036","14,790","14,295",GE
"Goodwill, Net","26,182","26,047","25,790","25,275",GE
Intangibles - Net,"9,330","8,290","8,026","7,725",GE
Long Term Investments,"42,209","39,845","36,195","33,624",GE
Note Rcvble - Long Term,"6,124","6,159","6,189","6,221",GE
Def. Inc. Tax - LT Asset,"10,855","10,583","10,956","11,504",GE
Disct. Ops. - LT Asset,"3,177","2,935","3,199","2,985",GE
Other Long Term Assets,"19,040","19,767","19,737","19,166",GE
Total Assets,"198,874","191,961","185,540","180,877",GE
Accounts Payable,"16,243","16,206","17,030","17,331",GE
Notes Payable/ST Debt,97,142,135,129,GE
Curr. Port. LT Dbt/Cap Ls.,"4,264","4,843","4,812","4,156",GE
Customer Advances,"17,372","16,206","16,360","16,445",GE
Discontinued Operations,--,"1,732","1,638","1,503",GE
Other Current Liabilities,"13,977","14,215","13,908","15,093",GE
"Other Curr. Lblts, Total","31,349","32,153","31,906","33,041",GE
Total Current Liabilities,"51,953","53,344","53,883","54,657",GE
Total Long Term Debt,"30,824","28,649","27,571","26,121",GE
Total Debt,"35,185","33,634","32,518","30,406",GE
Minority Interest,"1,302","1,278","1,293","1,278",GE
Pension Benefits - Underfunded,"21,202","20,636","19,758","19,201",GE
Other LT Liabilities,"52,396","48,056","47,354","47,042",GE
Discont. Ops. - Lblts,887,993,"1,032","1,103",GE
"Other Liabilities, Total","74,485","69,685","68,144","67,346",GE
Total Liabilities,"158,564","152,956","150,891","149,402",GE
"Pref. Stock-Non Rdmbl, Net",6,6,6,6,GE
Common Stock,15,15,15,15,GE
Ret. Earn.(Accum. Deficit),"85,110","83,927","82,981","82,655",GE
Treasury Stock - Common,"(81,093)","(80,673)","(80,883)","(81,049)",GE
Unrealized Gain (Loss),"2,498","2,181",(514),"(2,418)",GE
Cum. Trans. Adjustment,"(4,562)","(4,724)","(5,510)","(6,419)",GE
Other Equity,"34,690","34,389","34,382","34,253",GE
Min. Pension Lblty Adj.,"3,646","3,884","4,173","4,432",GE
Other Comprehensive Income,--,--,(1),--,GE
"Other Equity, Total","33,774","33,549","33,044","32,266",GE
Total Equity,"40,310","39,005","34,649","31,475",GE
Total Liabilities & Shareholders’ Equity,"198,874","191,961","185,540","180,877",GE
Ttl Comm. Shares Outs.,"1,099","1,101","1,097","1,093",GE
Trsy. Shrs-Comm. Primary Iss.,374,374,374,374,GE
Trsry Shrs-Pref. Iss. 1,0,0,0,0,GE
