items,2017,2018,2019,2020,2021,ticker
Net Income,"2,418","6,193","9,777","4,523","12,358",MRK
Depreciation/Depletion,"4,637","4,519","3,652","1,669","1,578",MRK
Amortization,--,--,--,"1,817","1,636",MRK
Deferred Taxes,"(2,621)",(509),(556),(566),187,MRK
Discontinued Operations,--,--,--,"2,636",987,MRK
Extraordinary Item,"5,347",0,0,--,--,MRK
Unusual Items,646,296,"2,033","4,378","1,858",MRK
Equity in Net Earnings/Loss,(42),--,--,"(1,338)","(1,940)",MRK
Other Non-Cash Items,"1,083","1,976",601,"1,735","1,284",MRK
Non-Cash Items,"7,034","2,272","2,634","7,411","2,189",MRK
"Cash Taxes Pd, Supplemental","4,900","1,500","4,500","2,700","2,400",MRK
"Cash Interest Pd, Suppl",723,777,841,822,779,MRK
Accounts Receivable,297,(418),294,"(1,002)","(2,033)",MRK
Inventories,(145),(911),(508),(895),(674),MRK
Accounts Payable,254,230,399,684,405,MRK
Accrued Expenses,(922),(341),376,"(1,152)",277,MRK
Changes in Working Capital,"(5,021)","(1,553)","(2,067)","(4,601)","(3,839)",MRK
Total Cash from Operations,"6,447","10,922","13,440","10,253","14,109",MRK
Capital Expenditures,"(1,888)","(2,615)","(3,473)","(4,429)","(4,448)",MRK
Acquisition of Business,(396),(431),"(4,954)","(6,606)","(12,907)",MRK
Sale of Business,0,--,--,--,--,MRK
Sale/Maturity of Investment,"15,664","15,252","8,622","2,812","1,026",MRK
Purchase of Investments,"(10,739)","(7,994)","(3,202)","(1,095)",(1),MRK
Other Investing Cash Flow,38,102,378,(125),(225),MRK
"OtherInvestCashFlowItms,Tot","4,567","6,929",844,"(5,014)","(12,107)",MRK
Total Cash from Investing,"2,679","4,314","(2,629)","(9,443)","(16,555)",MRK
Financing Cash Flow Items,(195),(325),5,(436),"8,210",MRK
Total Cash Dividends Paid,"(5,167)","(5,172)","(5,695)","(6,215)","(6,610)",MRK
"Common Stock, Net","(4,014)","(9,091)","(4,780)","(1,281)",(840),MRK
Options Exercised,499,591,361,89,202,MRK
"Iss (Retirmnt) of Stock,Net","(3,515)","(8,500)","(4,419)","(1,192)",(638),MRK
"Short Term Debt, Net",(26),"5,124","(3,710)","2,549","(3,986)",MRK
"Long Term Debt, Net",0,0,"4,958","4,419","7,936",MRK
Total Debt Reduction,"(1,103)","(4,287)",0,"(1,957)","(2,319)",MRK
"Iss (Retirmnt) of Debt, Net","(1,129)",837,"1,248","5,011","1,631",MRK
Total Cash From Financing,"(10,006)","(13,160)","(8,861)","(2,832)","2,593",MRK
Foreign Exchange Effects,457,(205),17,253,(133),MRK
Net Change in Cash,(423),"1,871","1,967","(1,769)",14,MRK
NetCash-BeginBal/RsvdforFutUse,"6,515","6,096","7,967","9,934","8,153",MRK
NetCash-EndBal/RsrvforFutUse,"6,092","7,967","9,934","8,165","8,167",MRK
"Depreciation, Supplemental","4,637","4,519","3,652","1,669","1,578",MRK
