items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"13,521","15,901","14,593","14,959",MRK
"Cost of Revenue, Total","3,827","5,334","4,149","3,880",MRK
"Sell/Gen/AdminExpenses,Tot","2,820","2,302","2,485","2,494",MRK
Research & Development,"3,061","2,569","2,776","4,398",MRK
Restructuring Charge,238,127,258,175,MRK
Other Unusual Expnse (In),0,--,0,0,MRK
Unusual Expense (Income),238,127,258,175,MRK
Total Operating Expense,"9,946","10,332","9,668","10,947",MRK
Total Operating Income,"3,575","5,569","4,925","4,012",MRK
"Inter Expse,Net Non-Operat",(209),(243),(240),(244),MRK
"Inter Income, Non-Operating",9,7,15,40,MRK
"Invest Income, Non-Operat",310,(747),(370),(467),MRK
"Inter/Invest Inc, Non-Oper",319,(740),(355),(427),MRK
OtherNon-OperatInc (Expnse),224,275,157,242,MRK
"Other, Net",224,275,157,242,MRK
Income Before Tax,"3,909","4,861","4,487","3,583",MRK
Income Tax - Total,85,554,538,330,MRK
Income After Tax,"3,824","4,307","3,949","3,253",MRK
Minority Interest,(4),3,(5),(5),MRK
Net Inc Before Extra Items,"3,820","4,310","3,944","3,248",MRK
Total Extraordinary Items,(62),0,0,0,MRK
Total Net Income,"3,758","4,310","3,944","3,248",MRK
Income Available to Common Excl. Extra. Items,"3,820","4,310","3,944","3,248",MRK
Income Available to Common Incl. Extra. Items,"3,758","4,310","3,944","3,248",MRK
Basic/Primary Weighted Average Shares,"2,527","2,528","2,531","2,533",MRK
Basic/Primary EPS Excl. Extra. Items,1.51,1.70,1.56,1.28,MRK
Basic/Primary EPS Incl. Extra. Items,1.49,1.70,1.56,1.28,MRK
Diluted Weighted Average Shares,"2,535","2,537","2,540","2,542",MRK
Diluted EPS Excl. Extra. Items,1.51,1.70,1.55,1.28,MRK
Diluted EPS Incl. Extra. Items,1.48,1.70,1.55,1.28,MRK
Div/Share-ComStockPrimIssue,0.69,0.69,0.69,0.69,MRK
Gross Divid - Common Stock,"1,753","1,745","1,759","1,757",MRK
Pro Forma Net Income,--,--,--,--,MRK
"Interest Expense, Suppl",209,243,240,244,MRK
"Depreciat/Amort, Suppl",430,421,474,499,MRK
Total Special Items,"1,277",764,788,"1,519",MRK
Normalzd Income Before Tax,"5,186","5,625","5,275","5,102",MRK
Efct/SpecItemsIncTxs (STEC),28,87,94,140,MRK
IncTxsExcl ImpctofSpec Itms,113,641,632,470,MRK
Normalized Income After Tax,"5,073","4,984","4,643","4,632",MRK
Normalzd Inc Avail to Common,"5,069","4,987","4,638","4,627",MRK
Basic Normalized EPS,2.01,1.97,1.83,1.83,MRK
Diluted Normalized EPS,2.00,1.97,1.83,1.82,MRK
