items,Q2 2022,Q3 2022,Q4 2022,Q1 2023,ticker
Cash & Equivalents,"6,742","6,959","7,079","7,292",CSCO
Short Term Investments,"14,382","13,156","12,188","12,492",CSCO
Cash and Short Term Invs,"21,124","20,115","19,267","19,784",CSCO
"Trade Accts Recvble, Gross","6,073","5,861","6,705","5,527",CSCO
Prov. for Doubtful Accts,(70),(78),(83),(88),CSCO
"Trade Accts Recvble, Net","7,403","7,083","7,922","5,439",CSCO
Notes Recvble - Short Term,"3,997","3,804","3,905","3,683",CSCO
"Total Receivables, Net","11,400","10,887","11,827","9,122",CSCO
Invent. - Finished Goods,602,542,717,--,CSCO
Invent. - Work In Progress,50,165,150,--,CSCO
Invent. - Raw Materials,"1,400","1,517","1,691",--,CSCO
Inventories - Other,7,7,10,--,CSCO
Total Inventory,"2,059","2,231","2,568","2,664",CSCO
"Other Curr. Assets, Total","2,216","2,748","3,055","4,571",CSCO
Total Current Assets,"36,799","35,981","36,717","36,141",CSCO
Land/Improvements,"4,293","4,243","4,219",--,CSCO
Machinery/Equipment,"5,731","5,567","5,426",--,CSCO
Leases,245,205,185,--,CSCO
Other Prop./Plant/Equip.,"1,431","1,369","1,338",--,CSCO
Prop./Plant/Equip. - Gross,"11,700","11,384","11,168",--,CSCO
Accumulated Depreciation,"(8,482)","(8,314)","(8,168)",--,CSCO
Prop./Plant/Equip. - Net,"3,218","3,070","3,000","1,972",CSCO
"Goodwill, Net","38,679","38,452","38,304","38,160",CSCO
Intangibles - Gross,"5,114","4,676","4,456",--,CSCO
Accum. Intangible Amort.,"(2,035)","(1,865)","(1,887)",--,CSCO
Intangibles - Net,"3,079","2,811","2,569","2,360",CSCO
Note Rcvble - Long Term,"4,024","3,959","4,009","3,618",CSCO
Def. Inc. Tax - LT Asset,"4,269","4,276","4,449","4,891",CSCO
Restricted Cash - LT,750,750,"1,500",--,CSCO
Other Long Term Assets,"3,444","3,498","3,454","5,912",CSCO
Total Assets,"94,262","92,797","94,002","93,054",CSCO
Accounts Payable,"2,101","2,289","2,281","2,316",CSCO
Accrued Expenses,"3,740","3,366","3,638","2,907",CSCO
Notes Payable/ST Debt,"2,000",0,600,--,CSCO
Curr. Port. LT Dbt/Cap Ls.,502,"1,000",499,"1,249",CSCO
Customer Advances,"12,268","12,249","12,784","12,578",CSCO
Income Taxes Payable,837,852,961,890,CSCO
Other Current Liabilities,"4,467","4,394","4,877","4,956",CSCO
"Other Curr. Lblts, Total","17,572","17,495","18,622","18,424",CSCO
Total Current Liabilities,"25,915","24,150","25,640","24,896",CSCO
Total Long Term Debt,"8,969","8,418","8,416","7,629",CSCO
Total Debt,"11,471","9,418","9,515","8,878",CSCO
"Other Liabilities, Total","19,882","19,829","20,173","20,257",CSCO
Total Liabilities,"54,766","52,397","54,229","52,782",CSCO
"Pref. Stock-Non Rdmbl, Net",--,0,0,--,CSCO
Common Stock,"42,291","42,587","42,714",--,CSCO
Ret. Earn.(Accum. Deficit),"(2,006)",(724),"(1,319)",--,CSCO
Unrealized Gain (Loss),(50),(426),(379),--,CSCO
Cum. Trans. Adjustment,(750),"(1,073)","(1,287)",--,CSCO
Other Equity,--,--,--,"40,272",CSCO
Other Comprehensive Income,11,36,44,--,CSCO
"Other Equity, Total",(739),"(1,037)","(1,243)","40,272",CSCO
Total Equity,"39,496","40,400","39,773","40,272",CSCO
Total Liabilities & Shareholders’ Equity,"94,262","92,797","94,002","93,054",CSCO
Ttl Comm. Shares Outs.,"4,151","4,149","4,110","4,109",CSCO
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,CSCO
