items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,811,"1,112","1,223","1,062","1,319",FTNT
Short Term Investments,440,537,843,776,"1,233",FTNT
Cash and Short Term Invs,"1,251","1,650","2,066","1,837","2,552",FTNT
"Trade Accts Recvble, Gross",363,445,546,723,810,FTNT
Prov. for Doubtful Accts,(15),(1),(1),(3),(2),FTNT
"Total Receivables, Net",348,445,544,720,808,FTNT
Invent. - Finished Goods,64,77,108,126,126,FTNT
Invent. - Work In Progress,--,--,--,--,10,FTNT
Invent. - Raw Materials,13,13,10,14,40,FTNT
Total Inventory,77,90,118,140,176,FTNT
Prepaid Expenses,40,37,41,43,65,FTNT
Total Current Assets,"1,717","2,221","2,769","2,740","3,601",FTNT
Buildings,154,162,173,183,456,FTNT
Land/Improvements,66,76,93,93,205,FTNT
Machinery/Equipment,80,96,117,137,176,FTNT
Construction in Progress,6,12,61,166,20,FTNT
Other Prop./Plant/Equip.,35,36,82,90,108,FTNT
Prop./Plant/Equip. - Gross,341,382,526,670,964,FTNT
Accumulated Depreciation,(95),(111),(137),(173),(212),FTNT
Prop./Plant/Equip. - Net,245,271,389,497,753,FTNT
"Goodwill, Net",15,38,67,93,125,FTNT
Intangibles - Gross,38,52,72,84,115,FTNT
Accum. Intangible Amort.,(24),(30),(41),(53),(52),FTNT
Intangibles - Net,16,22,31,32,64,FTNT
Long Term Investments,98,67,144,118,441,FTNT
Deferred Charges,--,183,237,305,423,FTNT
Def. Inc. Tax - LT Asset,147,255,226,245,342,FTNT
Other Long Term Assets,20,21,16,14,171,FTNT
Total Assets,"2,258","3,078","3,879","4,045","5,919",FTNT
Accounts Payable,70,86,96,142,148,FTNT
Accrued Expenses,142,176,204,295,392,FTNT
Notes Payable/ST Debt,0,0,0,0,0,FTNT
Customer Advances,794,966,"1,156","1,393","1,777",FTNT
Income Taxes Payable,21,28,--,--,--,FTNT
"Other Curr. Lblts, Total",815,994,"1,156","1,393","1,777",FTNT
Total Current Liabilities,"1,027","1,256","1,456","1,830","2,318",FTNT
Total Long Term Debt,0,0,0,0,988,FTNT
Total Debt,0,0,0,0,988,FTNT
Minority Interest,--,--,--,--,17,FTNT
"Other Liabilities, Total",641,811,"1,081","1,359","1,814",FTNT
Total Liabilities,"1,669","2,068","2,537","3,189","5,137",FTNT
Common Stock,0,0,0,0,0,FTNT
Additional Paid-In Capital,910,"1,068","1,180","1,207","1,254",FTNT
Ret. Earn.(Accum. Deficit),(320),(58),161,(352),(468),FTNT
Unrealized Gain (Loss),--,--,1,--,--,FTNT
"Other Equity, Total",(1),(1),0,1,(5),FTNT
Total Equity,589,"1,010","1,342",856,782,FTNT
Total Liabilities & Shareholders’ Equity,"2,258","3,078","3,879","4,045","5,919",FTNT
Ttl Comm. Shares Outs.,839,849,859,813,810,FTNT
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,FTNT
