items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"20,945","20,886","17,936","21,984",GOOGL
Short Term Investments,"118,704","113,084","107,061","94,275",GOOGL
Cash and Short Term Invs,"139,649","133,970","124,997","116,259",GOOGL
"Trade Accts Recvble, Gross","40,693",--,"36,341","35,428",GOOGL
Prov. for Doubtful Accts,"(1,389)",--,(634),(731),GOOGL
"Trade Accts Recvble, Net","39,304","34,703","35,707","34,697",GOOGL
Other Receivables,966,919,"1,366","1,479",GOOGL
"Total Receivables, Net","40,270","35,622","37,073","36,176",GOOGL
Total Inventory,"1,170","1,369","1,980","3,156",GOOGL
"Other Curr. Assets, Total","7,054","6,892","8,321","10,518",GOOGL
Total Current Assets,"188,143","177,853","172,371","166,109",GOOGL
Buildings,"9,146","9,912","9,992","10,062",GOOGL
Land/Improvements,"58,881","62,869","65,015","64,679",GOOGL
Machinery/Equipment,"55,606","57,628","59,643","61,938",GOOGL
Construction in Progress,"23,171","25,555","25,341","26,899",GOOGL
Other Prop./Plant/Equip.,"13,167","13,205","13,665","13,974",GOOGL
Prop./Plant/Equip. - Gross,"159,971","169,169","173,656","177,552",GOOGL
Accumulated Depreciation,"(49,414)","(51,959)","(54,035)","(55,512)",GOOGL
Prop./Plant/Equip. - Net,"110,558","117,210","119,621","122,040",GOOGL
"Goodwill, Net","22,956","23,010","23,949","28,834",GOOGL
Intangibles - Gross,"5,964","5,668","2,129","3,017",GOOGL
Accum. Intangible Amort.,"(4,547)","(4,355)",(752),(825),GOOGL
Intangibles - Net,"1,417","1,313","1,377","2,192",GOOGL
Long Term Investments,"29,549","30,544","30,665","30,419",GOOGL
Other Long Term Assets,"5,361","5,778","5,712","5,670",GOOGL
Total Assets,"359,268","357,096","355,185","358,255",GOOGL
Accounts Payable,"6,037","3,436","4,409","6,303",GOOGL
Accrued Expenses,"35,213","33,003","34,555","38,726",GOOGL
Notes Payable/ST Debt,0,0,0,0,GOOGL
Curr. Port. LT Dbt/Cap Ls.,113,181,82,414,GOOGL
Customer Advances,"12,284","11,314","11,161","11,247",GOOGL
Income Taxes Payable,808,"4,344","1,956","1,025",GOOGL
Other Current Liabilities,"9,799","9,670","9,191","8,264",GOOGL
"Other Curr. Lblts, Total","22,891","25,328","22,308","20,536",GOOGL
Total Current Liabilities,"64,254","61,948","61,354","65,979",GOOGL
Long Term Debt,"12,841","12,847","12,850","12,854",GOOGL
Capital Lease Obligations,"1,976","1,944","1,884","1,799",GOOGL
Total Long Term Debt,"14,817","14,791","14,734","14,653",GOOGL
Total Debt,"14,930","14,972","14,816","15,067",GOOGL
Deferred Income Tax,"5,257","2,843",924,476,GOOGL
"Other Liabilities, Total","23,305","23,510","22,754","23,521",GOOGL
Total Liabilities,"107,633","103,092","99,766","104,629",GOOGL
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,GOOGL
Common Stock,1,1,13,0,GOOGL
Additional Paid-In Capital,"61,773","62,831","64,389","66,258",GOOGL
Ret. Earn.(Accum. Deficit),"191,484","195,221","196,845","196,220",GOOGL
Unrealized Gain (Loss),236,"(2,094)","(2,787)","(4,225)",GOOGL
Cum. Trans. Adjustment,"(2,306)","(2,267)","(3,932)","(6,107)",GOOGL
Other Comprehensive Income,447,312,891,"1,480",GOOGL
"Other Equity, Total","(1,859)","(1,955)","(3,041)","(4,627)",GOOGL
Total Equity,"251,635","254,004","255,419","253,626",GOOGL
Total Liabilities & Shareholders’ Equity,"359,268","357,096","355,185","358,255",GOOGL
Shr Outs.-Com. Primary Iss.,"6,015","6,015","6,002","5,978",GOOGL
Shr Outs.-Com. Stk. Iss. 2,893,888,885,884,GOOGL
Shr Outs.-Com. Stk. Iss. 3,"6,334","6,272","6,191","6,109",GOOGL
Ttl Comm. Shares Outs.,"13,242","13,175","13,078","12,971",GOOGL
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,GOOGL
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,GOOGL
Trsy. Shrs-Comm. Iss. 3,0,0,0,0,GOOGL
