items,Q3 2022,Q4 2022,Q1 2023,Q2 2023,ticker
Total Revenue,"10,871","12,234","12,687","13,315",NKE
"Cost of Revenue, Total","5,804","6,731","7,072","7,604",NKE
Selling/Gen/Admin Expense,"2,584","2,974","2,977","3,022",NKE
Advertising Expense,854,"1,061",943,"1,102",NKE
"Sell/Gen/AdminExpenses,Tot","3,438","4,035","3,920","4,124",NKE
Total Operating Expense,"9,242","10,766","10,992","11,728",NKE
Total Operating Income,"1,629","1,468","1,695","1,587",NKE
"Inter Expse,Net Non-Operat",(75),(77),(78),--,NKE
"Inter/Invest Inc, Non-Oper",22,37,65,--,NKE
"Inter Inc(Exp),Net Non-Oper",--,--,--,(16),NKE
"Other, Net",94,(54),146,79,NKE
Income Before Tax,"1,670","1,374","1,828","1,650",NKE
Income Tax - Total,274,(65),360,319,NKE
Income After Tax,"1,396","1,439","1,468","1,331",NKE
Net Inc Before Extra Items,"1,396","1,439","1,468","1,331",NKE
Total Net Income,"1,396","1,439","1,468","1,331",NKE
Income Available to Common Excl. Extra. Items,"1,396","1,439","1,468","1,331",NKE
Income Available to Common Incl. Extra. Items,"1,396","1,439","1,468","1,331",NKE
Basic/Primary Weighted Average Shares,"1,579","1,572","1,567","1,559",NKE
Basic/Primary EPS Excl. Extra. Items,0.88,0.92,0.94,0.85,NKE
Basic/Primary EPS Incl. Extra. Items,0.88,0.92,0.94,0.85,NKE
Diluted Weighted Average Shares,"1,611","1,596","1,586","1,572",NKE
Diluted EPS Excl. Extra. Items,0.87,0.90,0.93,0.85,NKE
Diluted EPS Incl. Extra. Items,0.87,0.90,0.93,0.85,NKE
Div/Share-ComStockPrimIssue,0.31,0.31,0.31,0.31,NKE
Gross Divid - Common Stock,488,480,482,--,NKE
Pro Forma Net Income,--,--,--,--,NKE
"Interest Expense, Suppl",75,77,78,--,NKE
"Depreciat/Amort, Suppl",180,179,169,--,NKE
Normalzd Income Before Tax,"1,670","1,374","1,828","1,650",NKE
IncTxsExcl ImpctofSpec Itms,274,(65),360,319,NKE
Normalized Income After Tax,"1,396","1,439","1,468","1,331",NKE
Normalzd Inc Avail to Common,"1,396","1,439","1,468","1,331",NKE
Basic Normalized EPS,0.88,0.92,0.94,0.85,NKE
Diluted Normalized EPS,0.87,0.90,0.93,0.85,NKE
