items,2017,2018,2019,2020,2021,ticker
Net Income,789,963,278,214,801,ADS
Depreciation/Depletion,498,487,249,184,123,ADS
Deferred Taxes,(114),16,(186),(223),(15),ADS
Unusual Items,--,--,(388),50,0,ADS
Other Non-Cash Items,"1,259","1,144","1,286","1,324",675,ADS
Non-Cash Items,"1,259","1,144",897,"1,374",675,ADS
"Cash Taxes Pd, Supplemental",344,234,"1,071",268,357,ADS
"Cash Interest Pd, Suppl",551,720,672,488,325,ADS
Accounts Receivable,(10),(93),4,65,--,ADS
Other Assets,(78),100,(47),145,(30),ADS
Payable/Accrued,167,(94),(255),62,--,ADS
Changes in Working Capital,167,144,(21),334,(41),ADS
Total Cash from Operations,"2,599","2,755","1,218","1,883","1,543",ADS
Capital Expenditures,(225),(200),(142),(54),(84),ADS
Acquisition of Business,(946),0,(7),(267),(75),ADS
Sale of Business,--,--,"4,410",27,0,ADS
Sale/Maturity of Investment,840,"1,201","2,137",366,585,ADS
"Investment, Net",(101),(90),--,(40),--,ADS
Purchase of Investments,0,0,(945),--,(203),ADS
Other Investing Cash Flow,"(3,836)","(2,784)","(2,592)","1,743","(1,914)",ADS
"OtherInvestCashFlowItms,Tot","(4,043)","(1,672)","3,003","1,828","(1,607)",ADS
Total Cash from Investing,"(4,268)","(1,872)","2,861","1,774","(1,691)",ADS
Financing Cash Flow Items,(95),(57),(119),"(2,388)","1,080",ADS
Total Cash Dividends Paid,(116),(125),(127),(61),(42),ADS
Sale/Issuance of Common,18,18,12,3,4,ADS
Repurch/Retirement Common,(554),(443),(976),--,0,ADS
"Iss (Retirmnt) of Stock,Net",(535),(426),(964),3,4,ADS
Long Term Debt Issued,"2,543",864,356,--,--,ADS
"Long Term Debt, Net","2,543",864,356,--,--,ADS
Total Debt Issued,"12,869","8,290","7,963","3,695","4,968",ADS
Total Debt Reduction,"(10,662)","(9,764)","(11,201)","(5,416)","(5,402)",ADS
"Iss (Retirmnt) of Debt, Net","4,751",(610),"(2,882)","(1,721)",(434),ADS
Total Cash From Financing,"4,005","(1,218)","(4,092)","(4,167)",608,ADS
Foreign Exchange Effects,10,(12),4,15,0,ADS
Net Change in Cash,"2,346",(347),(10),(495),460,ADS
NetCash-BeginBal/RsvdforFutUse,"1,969","4,315","3,968","3,958","3,463",ADS
NetCash-EndBal/RsrvforFutUse,"4,315","3,968","3,958","3,463","3,923",ADS
"Depreciation, Supplemental",498,487,249,184,123,ADS
