items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,796,590,752,508,SKX
Short Term Investments,99,105,105,103,SKX
Cash and Short Term Invs,895,695,857,611,SKX
"Trade Accts Recvble, Gross",795,"1,064",971,993,SKX
Prov. for Doubtful Accts,(63),(54),(54),(59),SKX
"Trade Accts Recvble, Net",733,"1,011",917,934,SKX
Other Receivables,80,72,55,75,SKX
"Total Receivables, Net",813,"1,083",972,"1,009",SKX
Total Inventory,"1,471","1,450","1,564","1,779",SKX
Prepaid Expenses,194,199,177,182,SKX
Total Current Assets,"3,372","3,426","3,570","3,582",SKX
Prop./Plant/Equip. - Net,"2,353","2,376","2,394","2,407",SKX
"Goodwill, Net",93,93,93,93,SKX
Long Term Investments,146,125,89,70,SKX
Other Long Term Assets,75,79,77,77,SKX
Total Assets,"6,491","6,545","6,677","6,679",SKX
Accounts Payable,876,812,972,926,SKX
Accrued Expenses,491,485,482,483,SKX
Notes Payable/ST Debt,1,50,0,31,SKX
Curr. Port. LT Dbt/Cap Ls.,77,59,73,137,SKX
Total Current Liabilities,"1,446","1,406","1,528","1,577",SKX
Total Long Term Debt,263,265,253,226,SKX
Total Debt,342,374,327,393,SKX
Deferred Income Tax,12,11,10,12,SKX
Minority Interest,283,298,302,290,SKX
"Other Liabilities, Total","1,228","1,197","1,168","1,116",SKX
Total Liabilities,"3,232","3,177","3,260","3,220",SKX
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,SKX
Common Stock,0,0,0,0,SKX
Additional Paid-In Capital,430,415,402,387,SKX
Ret. Earn.(Accum. Deficit),"2,878","2,999","3,090","3,175",SKX
"Other Equity, Total",(48),(47),(76),(104),SKX
Total Equity,"3,259","3,368","3,416","3,459",SKX
Total Liabilities & Shareholders’ Equity,"6,491","6,545","6,677","6,679",SKX
Shr Outs.-Com. Primary Iss.,135,135,135,134,SKX
Shr Outs.-Com. Stk. Iss. 2,21,21,21,21,SKX
Ttl Comm. Shares Outs.,156,156,156,155,SKX
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,SKX
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,SKX
