items,Q4 2021,Q4 2022,Q1 2023,Q2 2023,ticker
Cash and Short Term Invs,"1,669","1,009","1,049",854,UA
"Trade Accts Recvble, Gross",576,709,699,795,UA
Prov. for Doubtful Accts,(7),(7),(5),(6),UA
"Total Receivables, Net",569,702,694,789,UA
Total Inventory,811,824,954,"1,080",UA
Prepaid Expenses,286,297,303,356,UA
Total Current Assets,"3,336","2,833","3,000","3,079",UA
Buildings,--,510,505,505,UA
Land/Improvements,--,84,84,84,UA
Machinery/Equipment,--,650,654,669,UA
Construction in Progress,--,65,94,111,UA
Other Prop./Plant/Equip.,--,690,675,750,UA
Prop./Plant/Equip. - Gross,--,"1,999","2,011","2,118",UA
Accumulated Depreciation,--,(977),(992),"(1,010)",UA
Prop./Plant/Equip. - Net,"1,056","1,022","1,019","1,109",UA
"Goodwill, Net",495,492,480,468,UA
Intangibles - Gross,--,25,25,24,UA
Accum. Intangible Amort.,--,(14),(15),(15),UA
Intangibles - Net,11,11,10,9,UA
Other Long Term Assets,75,76,78,86,UA
Total Assets,"4,991","4,453","4,606","4,770",UA
Accounts Payable,613,560,669,747,UA
Accrued Expenses,599,453,504,486,UA
Notes Payable/ST Debt,0,0,0,0,UA
Security Deposits,164,160,157,155,UA
Other Current Liabilities,74,126,128,85,UA
"Other Curr. Lblts, Total",238,285,285,240,UA
Total Current Liabilities,"1,450","1,299","1,459","1,473",UA
Total Long Term Debt,663,672,673,673,UA
Total Debt,663,672,673,673,UA
"Other Liabilities, Total",790,753,745,807,UA
Total Liabilities,"2,902","2,724","2,877","2,954",UA
Common Stock,0,0,0,0,UA
Additional Paid-In Capital,"1,109","1,047","1,109","1,118",UA
Ret. Earn.(Accum. Deficit),"1,028",722,655,716,UA
"Other Equity, Total",(48),(40),(35),(18),UA
Total Equity,"2,089","1,729","1,729","1,816",UA
Total Liabilities & Shareholders’ Equity,"4,991","4,453","4,606","4,770",UA
Shr Outs.-Com. Primary Iss.,189,189,189,189,UA
Shr Outs.-Com. Stk. Iss. 2,34,34,34,34,UA
Shr Outs.-Com. Stk. Iss. 3,253,238,232,229,UA
Ttl Comm. Shares Outs.,476,462,455,452,UA
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,UA
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,UA
Trsy. Shrs-Comm. Iss. 3,0,0,0,0,UA
