items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,832,877,858,938,CL
Short Term Investments,34,58,120,208,CL
Cash and Short Term Invs,866,935,978,"1,146",CL
"Trade Accts Recvble, Gross","1,375","1,612","1,561","1,492",CL
Prov. for Doubtful Accts,(78),(80),(71),(67),CL
"Total Receivables, Net","1,297","1,532","1,490","1,425",CL
Invent. - Finished Goods,"1,248","1,451","1,510","1,572",CL
Invent. - Work In Progress,39,50,53,51,CL
Invent. - Raw Materials,505,550,559,551,CL
Inventories - Other,(100),(127),(110),(101),CL
Total Inventory,"1,692","1,924","2,012","2,073",CL
"Other Curr. Assets, Total",542,598,680,634,CL
Total Current Assets,"4,397","4,989","5,160","5,278",CL
Prop./Plant/Equip. - Gross,"8,899","9,043","9,014","9,318",CL
Accumulated Depreciation,"(5,169)","(5,291)","(5,249)","(5,195)",CL
Prop./Plant/Equip. - Net,"3,730","3,752","3,765","4,123",CL
"Goodwill, Net","3,284","3,292","3,238","3,538",CL
Intangibles - Net,"2,462","2,415","2,314","2,219",CL
Other Long Term Assets,974,"1,082","1,046",948,CL
Total Assets,"15,040","15,723","15,711","16,288",CL
Accounts Payable,"1,479","1,582","1,507","1,541",CL
Accrued Expenses,"2,085","2,492","2,469","2,489",CL
Notes Payable/ST Debt,39,7,16,16,CL
Curr. Port. LT Dbt/Cap Ls.,12,12,13,13,CL
"Other Curr. Lblts, Total",436,473,390,433,CL
Total Current Liabilities,"4,051","4,566","4,395","4,492",CL
Total Long Term Debt,"7,194","7,588","7,957","8,219",CL
Total Debt,"7,245","7,607","7,986","8,248",CL
Deferred Income Tax,395,379,426,551,CL
Minority Interest,362,407,390,431,CL
"Other Liabilities, Total","2,429","2,462","2,375","1,973",CL
Total Liabilities,"14,431","15,402","15,543","15,666",CL
Common Stock,"1,466","1,466","1,466","1,466",CL
Additional Paid-In Capital,"3,269","3,355","3,402","3,518",CL
Ret. Earn.(Accum. Deficit),"24,350","24,149","24,342","24,566",CL
Treasury Stock - Common,"(24,089)","(24,401)","(24,736)","(24,749)",CL
"Other Equity, Total","(4,387)","(4,248)","(4,306)","(4,179)",CL
Total Equity,609,321,168,622,CL
Total Liabilities & Shareholders’ Equity,"15,040","15,723","15,711","16,288",CL
Ttl Comm. Shares Outs.,840,840,840,840,CL
Trsy. Shrs-Comm. Primary Iss.,625,625,625,625,CL
