items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"4,403","4,399","4,484","4,455",CL
"Cost of Revenue, Total","1,844","1,827","1,930","1,907",CL
"Sell/Gen/AdminExpenses,Tot","1,598","1,641","1,654","1,633",CL
Restructuring Charge,--,82,8,2,CL
Impair-Assets Held for Use,571,--,--,--,CL
Unusual Expense (Income),571,82,8,2,CL
"Other Operat Expse, Total",25,8,3,(35),CL
Total Operating Expense,"4,038","3,558","3,595","3,507",CL
Total Operating Income,365,841,889,948,CL
"Inter Inc(Exp),Net Non-Oper",(23),(27),(31),(40),CL
"Other, Net",(18),(19),(17),(16),CL
Income Before Tax,324,795,841,892,CL
Income Tax - Total,136,192,202,210,CL
Income After Tax,188,603,639,682,CL
Minority Interest,(40),(44),(36),(64),CL
Net Inc Before Extra Items,148,559,603,618,CL
Total Net Income,148,559,603,618,CL
Income Available to Common Excl. Extra. Items,148,559,603,618,CL
Income Available to Common Incl. Extra. Items,148,559,603,618,CL
Basic/Primary Weighted Average Shares,842,841,837,836,CL
Basic/Primary EPS Excl. Extra. Items,0.18,0.67,0.72,0.74,CL
Basic/Primary EPS Incl. Extra. Items,0.18,0.67,0.72,0.74,CL
Diluted Weighted Average Shares,846,844,839,839,CL
Diluted EPS Excl. Extra. Items,0.17,0.66,0.72,0.74,CL
Diluted EPS Incl. Extra. Items,0.17,0.66,0.72,0.74,CL
Div/Share-ComStockPrimIssue,0.45,0.45,0.47,0.47,CL
Gross Divid - Common Stock,--,760,410,394,CL
Pro Forma Net Income,--,--,--,--,CL
"Depreciat/Amort, Suppl",142,138,138,134,CL
Total Special Items,571,82,8,2,CL
Normalzd Income Before Tax,895,877,849,894,CL
Efct/SpecItemsIncTxs (STEC),240,20,2,0,CL
IncTxsExcl ImpctofSpec Itms,376,212,204,210,CL
Normalized Income After Tax,519,665,645,684,CL
Normalzd Inc Avail to Common,479,621,609,620,CL
Basic Normalized EPS,0.57,0.74,0.73,0.74,CL
Diluted Normalized EPS,0.57,0.74,0.73,0.74,CL
