items,2017,2018,2019,2020,2021,ticker
Total Revenue,"213,216","490,472","392,599","213,630","224,877",OR
"Cost of Revenue, Total","153,710","423,917","309,890","109,305","86,007",OR
"Sell/Gen/AdminExpenses,Tot","26,176","18,156","23,682","25,901","41,265",OR
Research & Development,"18,910","4,708","6,313","9,121","4,065",OR
Impair-Assets Held for Use,"89,000","166,316","243,576","26,300","124,538",OR
Impair-Assets Held for Sale,--,--,"17,224","7,998","2,112",OR
Other Unusual Expnse (In),--,"(9,094)","(7,636)","1,300","1,300",OR
Unusual Expense (Income),"89,000","157,222","253,164","35,598","127,950",OR
"Other Operat Expse, Total","(4,145)",--,--,--,"12,919",OR
Total Operating Expense,"283,651","604,003","593,049","179,925","272,206",OR
Total Operating Income,"(70,435)","(113,531)","(200,450)","33,705","(47,329)",OR
"Inter Income, Non-Operating","4,255","4,428","4,632","4,582","5,065",OR
"Invest Income, Non-Operat",245,"(31,632)","(78,777)","(10,814)","(13,319)",OR
"Inter/Invest Inc, Non-Oper","4,500","(27,204)","(74,145)","(6,232)","(8,254)",OR
OtherNon-OperatInc (Expnse),--,--,--,(331),"11,863",OR
"Other, Net",--,--,--,(331),"11,863",OR
Income Before Tax,"(65,935)","(140,735)","(274,595)","27,142","(43,720)",OR
Income Tax - Total,"(23,147)","(35,148)","(40,400)","10,913","12,955",OR
Income After Tax,"(42,788)","(105,587)","(234,195)","16,229","(56,675)",OR
Minority Interest,287,0,--,647,"33,121",OR
Net Inc Before Extra Items,"(42,501)","(105,587)","(234,195)","16,876","(23,554)",OR
Total Net Income,"(42,501)","(105,587)","(234,195)","16,876","(23,554)",OR
Income Available to Common Excl. Extra. Items,"(42,501)","(105,587)","(234,195)","16,876","(23,554)",OR
Income Available to Common Incl. Extra. Items,"(42,501)","(105,587)","(234,195)","16,876","(23,554)",OR
Basic/Primary Weighted Average Shares,"127,939","156,617","151,266","162,303","167,628",OR
Basic/Primary EPS Excl. Extra. Items,(0.33),(0.67),(1.55),0.10,(0.14),OR
Basic/Primary EPS Incl. Extra. Items,(0.33),(0.67),(1.55),0.10,(0.14),OR
Dilution Adjustment,0,--,--,--,--,OR
Diluted Weighted Average Shares,"127,939","156,617","151,266","162,428","167,628",OR
Diluted EPS Excl. Extra. Items,(0.33),(0.67),(1.55),0.10,(0.14),OR
Diluted EPS Incl. Extra. Items,(0.33),(0.67),(1.55),0.10,(0.14),OR
Div/Share-ComStockPrimIssue,0.18,0.20,0.20,0.20,0.21,OR
Gross Divid - Common Stock,"24,274","31,213","29,977","32,838","35,085",OR
Pro Forma Net Income,--,--,--,--,--,OR
"Depreciat/Amort, Suppl","28,210","52,786","48,270","46,904","51,934",OR
Total Special Items,"89,000","157,222","253,164","35,598","127,950",OR
Normalzd Income Before Tax,"23,065","16,487","(21,431)","62,740","84,230",OR
Efct/SpecItemsIncTxs (STEC),"31,150","55,028","88,607","14,313","44,783",OR
IncTxsExcl ImpctofSpec Itms,"8,003","19,880","48,207","25,226","57,738",OR
Normalized Income After Tax,"15,062","(3,393)","(69,638)","37,514","26,493",OR
Normalzd Inc Avail to Common,"15,349","(3,393)","(69,638)","38,161","59,614",OR
Basic Normalized EPS,0.12,(0.02),(0.46),0.24,0.36,OR
Diluted Normalized EPS,0.12,(0.02),(0.46),0.23,0.36,OR
