items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"50,673","59,398","63,959","53,661",OR
"Cost of Revenue, Total","15,910","23,188","27,368","18,568",OR
"Sell/Gen/AdminExpenses,Tot","10,829","12,644","14,875","5,186",OR
Research & Development,811,"1,541","1,404","1,203",OR
Impair-Assets Held for Use,"48,451",0,0,0,OR
Impair-Assets Held for Sale,0,520,384,276,OR
Unusual Expense (Income),"48,451",520,384,276,OR
"Other Operat Expse, Total","12,919","15,246","20,602",--,OR
Total Operating Expense,"88,920","53,139","64,633","25,233",OR
Total Operating Income,"(38,247)","6,259",(674),"28,428",OR
"Inter Income, Non-Operating","1,139","1,191","2,292","3,054",OR
"Invest Income, Non-Operat",(722),"(8,981)","26,380","7,101",OR
"Inter/Invest Inc, Non-Oper",417,"(7,790)","28,672","10,155",OR
OtherNon-OperatInc (Expnse),"3,837","1,364","(1,236)",--,OR
"Other, Net","3,837","1,364","(1,236)",--,OR
Income Before Tax,"(33,993)",(167),"26,762","38,583",OR
Income Tax - Total,"1,230","5,362","10,190","10,569",OR
Income After Tax,"(35,223)","(5,529)","16,572","28,014",OR
Minority Interest,"14,039","5,855",587,"57,994",OR
Net Inc Before Extra Items,"(21,184)",326,"17,159","86,008",OR
Total Extraordinary Items,--,--,--,"(244,655)",OR
Total Net Income,"(21,184)",326,"17,159","(158,647)",OR
Income Available to Common Excl. Extra. Items,"(21,184)",326,"17,159","86,008",OR
Income Available to Common Incl. Extra. Items,"(21,184)",326,"17,159","(158,647)",OR
Basic/Primary Weighted Average Shares,"167,154","166,926","185,316","184,839",OR
Basic/Primary EPS Excl. Extra. Items,(0.13),0.00,0.09,0.47,OR
Basic/Primary EPS Incl. Extra. Items,(0.13),0.00,0.09,(0.86),OR
Diluted Weighted Average Shares,"167,154","167,278","185,316","184,839",OR
Diluted EPS Excl. Extra. Items,(0.13),0.00,0.09,0.47,OR
Diluted EPS Incl. Extra. Items,(0.13),0.00,0.09,(0.86),OR
Div/Share-ComStockPrimIssue,0.06,0.06,0.06,0.06,OR
Gross Divid - Common Stock,"9,158","10,167","10,177","10,109",OR
Pro Forma Net Income,--,--,--,--,OR
"Depreciat/Amort, Suppl","14,961","15,017","15,983","14,423",OR
Total Special Items,"48,451",520,384,276,OR
Normalzd Income Before Tax,"14,458",353,"27,146","38,859",OR
Efct/SpecItemsIncTxs (STEC),"16,958",182,146,76,OR
IncTxsExcl ImpctofSpec Itms,"18,188","5,544","10,336","10,645",OR
Normalized Income After Tax,"(3,730)","(5,191)","16,810","28,214",OR
Normalzd Inc Avail to Common,"10,309",664,"17,397","86,208",OR
Basic Normalized EPS,0.06,0.00,0.09,0.47,OR
Diluted Normalized EPS,0.06,0.00,0.09,0.47,OR
