items,2017,2018,2019,2020,2021,ticker
Cash,344,373,494,721,761,TRV
Prop./Plant/Equip. - Net,932,904,963,"1,026",979,TRV
"Goodwill, Net","3,951","3,937","3,961","3,976","4,008",TRV
Intangibles - Gross,513,532,530,532,535,TRV
Accum. Intangible Amort.,(171),(187),(200),(215),(229),TRV
Intangibles - Net,342,345,330,317,306,TRV
Long Term Investments,"71,570","71,374","76,921","83,397","86,396",TRV
Insurance Receivables,"7,695","8,084","8,598","8,601","8,987",TRV
Note Rcvble - Long Term,"4,775","4,785","4,619","4,242","3,890",TRV
Def. Policy Acq. Costs,"2,025","2,120","2,273","2,358","2,542",TRV
Accrued Investment Income,606,624,618,603,615,TRV
Reinsurance - Asset,"8,309","8,370","8,235","8,350","8,452",TRV
Other Assets,"2,864","2,872","3,110","3,173","3,530",TRV
"Other Assets, Total","11,779","11,866","11,963","12,126","12,597",TRV
Total Assets,"103,483","104,233","110,122","116,764","120,466",TRV
Insurance Reserves,"49,650","50,668","51,849","54,521","56,907",TRV
Unearned Prem. Or Rev.,"12,915","13,555","14,604","15,222","16,469",TRV
Reinsurance - Liability,274,289,363,356,384,TRV
Policy Liabilities,"62,839","64,512","66,816","70,099","73,760",TRV
Notes Payable/ST Debt,0,0,0,100,100,TRV
Curr. Port. LT Dbt/Cap Ls.,600,600,600,0,0,TRV
"Other Curr. Lblts, Total","4,775","4,785","4,619","4,261","3,911",TRV
Total Long Term Debt,"5,971","5,964","5,958","6,450","7,190",TRV
Total Debt,"6,571","6,564","6,558","6,550","7,290",TRV
Deferred Income Tax,--,--,137,558,289,TRV
"Other Liabilities, Total","5,567","5,478","6,049","6,095","6,329",TRV
Total Liabilities,"79,752","81,339","84,179","87,563","91,579",TRV
Common Stock,"22,886","23,144","23,469","23,743","24,154",TRV
Ret. Earn.(Accum. Deficit),"33,462","35,204","36,977","38,771","41,555",TRV
Treasury Stock - Common,"(32,274)","(33,595)","(35,143)","(35,815)","(38,015)",TRV
Unrealized Gain (Loss),954,(113),"2,246","4,074","2,415",TRV
Cum. Trans. Adjustment,(611),(873),(760),(740),(749),TRV
Min. Pension Lblty Adj.,(686),(873),(846),(832),(473),TRV
"Other Equity, Total","(1,297)","(1,746)","(1,606)","(1,572)","(1,222)",TRV
Total Equity,"23,731","22,894","25,943","29,201","28,887",TRV
Total Liabilities & Shareholders’ Equity,"103,483","104,233","110,122","116,764","120,466",TRV
Ttl Comm. Shares Outs.,271,264,256,252,241,TRV
Trsy. Shrs-Comm. Primary Iss.,501,511,522,527,542,TRV
