items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash,761,752,710,773,TRV
Prop./Plant/Equip. - Net,979,975,970,954,TRV
"Goodwill, Net","4,008","4,001","3,967","3,922",TRV
Intangibles - Gross,535,533,527,520,TRV
Accum. Intangible Amort.,(229),(232),(233),(233),TRV
Intangibles - Net,306,301,294,287,TRV
Long Term Investments,"86,396","82,689","79,489","77,159",TRV
Insurance Receivables,"8,987","9,859","10,328","10,085",TRV
Note Rcvble - Long Term,"3,890","3,901","3,735","3,749",TRV
Def. Policy Acq. Costs,"2,542","2,645","2,776","2,858",TRV
Accrued Investment Income,615,570,612,583,TRV
Reinsurance - Asset,"8,452","8,734","8,509","8,202",TRV
Other Assets,"3,530","3,503","3,823","3,570",TRV
"Other Assets, Total","12,597","12,807","12,944","12,355",TRV
Total Assets,"120,466","118,592","116,587","114,317",TRV
Insurance Reserves,"56,907","57,572","57,983","58,138",TRV
Unearned Prem. Or Rev.,"16,469","17,193","17,811","18,364",TRV
Reinsurance - Liability,384,694,620,629,TRV
Policy Liabilities,"73,760","75,459","76,414","77,131",TRV
Notes Payable/ST Debt,100,100,100,100,TRV
Curr. Port. LT Dbt/Cap Ls.,0,--,--,--,TRV
"Other Curr. Lblts, Total","3,911","3,920","3,753","3,767",TRV
Total Long Term Debt,"7,190","7,191","7,191","7,191",TRV
Total Debt,"7,290","7,291","7,291","7,291",TRV
Deferred Income Tax,289,0,0,0,TRV
"Other Liabilities, Total","6,329","6,391","6,255","6,222",TRV
Total Liabilities,"91,579","93,061","93,713","94,411",TRV
Common Stock,"24,154","24,348","24,419","24,472",TRV
Ret. Earn.(Accum. Deficit),"41,555","42,359","42,684","42,917",TRV
Treasury Stock - Common,"(38,015)","(38,574)","(39,074)","(39,575)",TRV
Unrealized Gain (Loss),"2,415","(1,391)","(3,792)","(6,317)",TRV
Cum. Trans. Adjustment,(749),(747),(908),"(1,145)",TRV
Min. Pension Lblty Adj.,(473),(464),(455),(446),TRV
"Other Equity, Total","(1,222)","(1,211)","(1,363)","(1,591)",TRV
Total Equity,"28,887","25,531","22,874","19,906",TRV
Total Liabilities & Shareholders’ Equity,"120,466","118,592","116,587","114,317",TRV
Ttl Comm. Shares Outs.,241,240,237,234,TRV
Trsy. Shrs-Comm. Primary Iss.,542,545,548,551,TRV
