items,2017,2018,2019,2020,2021,ticker
Cash,"2,362","2,873","2,856","2,827","2,198",AIG
Prop./Plant/Equip. - Net,--,--,648,906,"1,000",AIG
Long Term Investments,"322,292","314,209","337,615","360,668","359,292",AIG
Insurance Receivables,"10,248","11,011","10,274","11,333","12,409",AIG
Def. Inc. Tax - LT Asset,"14,033","15,221","13,146","12,624","11,714",AIG
Disct. Ops. - LT Asset,0,--,--,--,--,AIG
Restricted Cash - LT,317,343,243,223,32,AIG
Def. Policy Acq. Costs,"10,994","12,694","11,207","9,805","10,514",AIG
Accrued Investment Income,"2,356","2,389","2,334","2,271","2,239",AIG
Reinsurance - Asset,"33,024","38,172","37,977","73,541","74,284",AIG
Separate Accounts - Assets,"92,798","81,847","93,272","100,290","109,111",AIG
Other Assets,"9,877","13,225","15,492","11,993","13,319",AIG
"Other Assets, Total","138,055","135,633","149,075","188,095","198,953",AIG
Total Assets,"498,301","491,984","525,064","586,481","596,112",AIG
Accrued Expenses,--,--,733,"1,000","1,200",AIG
Insurance Reserves,"123,825","128,574","128,840","128,817","138,976",AIG
Unearned Prem. Or Rev.,"19,030","19,248","18,269","18,660","19,313",AIG
Sep. Accounts - Liability,"92,798","81,847","93,272","100,290","109,111",AIG
Other Policyholders’ Funds,"139,250","145,830","155,297","163,799","160,162",AIG
Reinsurance - Liability,--,--,--,"43,060","40,771",AIG
Policy Liabilities,"374,903","375,499","395,678","454,626","468,333",AIG
Notes Payable/ST Debt,0,0,0,0,0,AIG
Curr. Port. LT Dbt/Cap Ls.,--,--,"1,536","1,896",68,AIG
Total Long Term Debt,"31,640","34,540","33,814","35,638","30,095",AIG
Total Debt,"31,640","34,540","35,350","37,534","30,163",AIG
Minority Interest,537,948,"1,752",837,"2,956",AIG
Discont. Ops. - Lblts,0,--,--,--,--,AIG
Other Liabilities,"26,050","24,636","25,876","26,122","27,504",AIG
"Other Liabilities, Total","26,050","24,636","25,876","26,122","27,504",AIG
Total Liabilities,"433,130","435,623","459,389","520,119","530,156",AIG
Redeemable Preferred Stock,--,--,500,500,500,AIG
"Pref. Stock-Non Rdmbl, Net",--,--,(15),(15),(15),AIG
Common Stock,"4,766","4,766","4,766","4,766","4,766",AIG
Additional Paid-In Capital,"81,078","81,268","81,345","81,418","81,851",AIG
Ret. Earn.(Accum. Deficit),"21,457","20,884","23,084","15,504","23,785",AIG
Treasury Stock - Common,"(47,595)","(49,144)","(48,987)","(49,322)","(51,618)",AIG
Unrealized Gain (Loss),"8,486","2,388","8,722","16,998","10,037",AIG
Cum. Trans. Adjustment,"(2,090)","(2,725)","(2,625)","(2,267)","(2,453)",AIG
Min. Pension Lblty Adj.,(931),"(1,086)","(1,122)","(1,228)",(903),AIG
Other Comprehensive Income,--,10,7,8,6,AIG
"Other Equity, Total","(3,021)","(3,801)","(3,740)","(3,487)","(3,350)",AIG
Total Equity,"65,171","56,361","65,675","66,362","65,956",AIG
Total Liabilities & Shareholders’ Equity,"498,301","491,984","525,064","586,481","596,112",AIG
Ttl Comm. Shares Outs.,899,867,870,862,819,AIG
Trsy. Shrs-Comm. Primary Iss.,"1,008","1,040","1,037","1,045","1,088",AIG
Trsry Shrs-Pref. Iss. 3,--,--,0,0,0,AIG
