items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Premiums Earned,"9,334","7,110","7,516","7,832",AIG
Other Insurance Revenue,"1,021","1,042",929,927,AIG
Total Premiums Earned,"10,355","8,152","8,445","8,759",AIG
Net Investment Income,"3,565","3,237","2,604","2,668",AIG
Realized Gains (Losses),167,"4,419","3,392","3,175",AIG
Total Revenue,"14,087","15,808","14,441","14,602",AIG
"Losses,Benies& Adjmts,Total","8,100","6,132","6,033","7,138",AIG
Amort. Of Policy Acquisition Costs,"1,094","1,437","1,298","1,248",AIG
"Sell/Gen/AdminExpenses,Tot","2,244","2,181","2,223","2,093",AIG
Unusual Expense (Income),"(2,696)",(40),300,(6),AIG
Total Operating Expense,"8,742","9,710","9,854","10,473",AIG
Total Operating Income,"5,345","6,098","4,587","4,129",AIG
"Inter Expse,Net Non-Operat",(297),(263),(266),(282),AIG
Income Before Tax,"5,048","5,835","4,321","3,847",AIG
Income Tax - Total,942,"1,179",928,806,AIG
Income After Tax,"4,106","4,656","3,393","3,041",AIG
Minority Interest,(360),(396),(356),(332),AIG
Net Inc Before Extra Items,"3,746","4,260","3,037","2,709",AIG
Total Extraordinary Items,0,0,(1),0,AIG
Total Net Income,"3,746","4,260","3,036","2,709",AIG
Total Adjust to Net Income,(7),(7),(8),(7),AIG
Income Available to Common Excl. Extra. Items,"3,739","4,253","3,029","2,702",AIG
Income Available to Common Incl. Extra. Items,"3,739","4,253","3,028","2,702",AIG
Basic/Primary Weighted Average Shares,834,816,791,763,AIG
Basic/Primary EPS Excl. Extra. Items,4.49,5.21,3.83,3.54,AIG
Basic/Primary EPS Incl. Extra. Items,4.49,5.21,3.83,3.54,AIG
Diluted Weighted Average Shares,847,826,801,771,AIG
Diluted EPS Excl. Extra. Items,4.42,5.15,3.78,3.50,AIG
Diluted EPS Incl. Extra. Items,4.42,5.15,3.78,3.50,AIG
Div/Share-ComStockPrimIssue,0.32,0.32,0.32,0.32,AIG
Gross Divid - Common Stock,295,258,248,240,AIG
Pro Forma Net Income,--,--,--,--,AIG
"Interest Expense, Suppl",297,263,266,282,AIG
"Depreciat/Amort, Suppl","1,043","1,447","1,251","1,220",AIG
Total Special Items,"(2,468)",69,518,199,AIG
Normalzd Income Before Tax,"2,580","5,904","4,839","4,046",AIG
Efct/SpecItemsIncTxs (STEC),(461),14,111,42,AIG
IncTxsExcl ImpctofSpec Itms,481,"1,193","1,039",848,AIG
Normalized Income After Tax,"2,099","4,711","3,800","3,198",AIG
Normalzd Inc Avail to Common,"1,732","4,308","3,436","2,859",AIG
Basic Normalized EPS,2.08,5.28,4.34,3.75,AIG
Diluted Normalized EPS,2.05,5.22,4.29,3.71,AIG
