items,2017,2018,2019,2020,2021,ticker
Gross Premiums Written,"36,376","37,968","40,124","41,261","46,780",CB
Reinsurance - Income,"(7,342)","(7,904)","(8,834)","(8,144)","(10,425)",CB
Total Premiums Earned,"29,034","30,064","31,290","33,117","36,355",CB
Net Investment Income,"3,125","3,305","3,426","3,375","3,456",CB
Realized Gains (Losses),129,(603),(472),(498),"1,152",CB
Total Revenue,"32,288","32,766","34,244","35,994","40,963",CB
"Losses, Benies & Adjusts","19,130","18,657","19,470","22,494","22,679",CB
Underwriting & Commissions,"5,781","5,912","6,153","6,547","6,918",CB
"Losses,Benies& Adjmts,Total","24,911","24,569","25,623","29,041","29,597",CB
"Sell/Gen/AdminExpenses,Tot","2,868","2,898","3,053","3,001","3,155",CB
Depreciation/Amortization,260,339,305,290,287,CB
Impair-Assets Held for Sale,45,49,58,0,0,CB
Other Unusual Expnse (In),310,59,23,0,0,CB
Unusual Expense (Income),355,108,81,0,0,CB
"Other Operat Expse, Total",50,0,0,--,--,CB
Total Operating Expense,"28,444","27,914","29,062","32,332","33,039",CB
Total Operating Income,"3,844","4,852","5,182","3,662","7,924",CB
"Inter Expse,Net Non-Operat",(607),(641),(552),(516),(492),CB
"Inter/Invest Inc, Non-Oper",418,514,617,"1,019","2,433",CB
Gain(Loss)on Sale of Assets,97,(38),44,58,(8),CB
"Other, Net",(30),(30),(42),(61),(41),CB
Income Before Tax,"3,722","4,657","5,249","4,162","9,816",CB
Income Tax - Total,311,720,795,629,"1,277",CB
Income After Tax,"3,411","3,937","4,454","3,533","8,539",CB
Net Inc Before Extra Items,"3,411","3,937","4,454","3,533","8,539",CB
Total Extraordinary Items,450,25,--,--,--,CB
Total Net Income,"3,861","3,962","4,454","3,533","8,539",CB
Income Available to Common Excl. Extra. Items,"3,411","3,937","4,454","3,533","8,539",CB
Income Available to Common Incl. Extra. Items,"3,861","3,962","4,454","3,533","8,539",CB
Basic/Primary Weighted Average Shares,467,464,456,452,440,CB
Basic/Primary EPS Excl. Extra. Items,7.30,8.49,9.77,7.82,19.41,CB
Basic/Primary EPS Incl. Extra. Items,8.27,8.55,9.77,7.82,19.41,CB
Diluted Weighted Average Shares,471,467,459,453,443,CB
Diluted EPS Excl. Extra. Items,7.24,8.43,9.71,7.79,19.27,CB
Diluted EPS Incl. Extra. Items,8.19,8.49,9.71,7.79,19.27,CB
Div/Share-ComStockPrimIssue,2.80,2.88,2.96,3.06,3.16,CB
Gross Divid - Common Stock,"1,317","1,344","1,360","1,398","1,392",CB
Pro Forma Net Income,--,--,--,--,--,CB
"Interest Expense, Suppl",607,641,552,516,492,CB
Total Special Items,258,146,37,"1,338",8,CB
Normalzd Income Before Tax,"3,980","4,803","5,286","5,500","9,824",CB
Efct/SpecItemsIncTxs (STEC),22,23,6,202,1,CB
IncTxsExcl ImpctofSpec Itms,333,743,801,831,"1,278",CB
Normalized Income After Tax,"3,647","4,060","4,485","4,669","8,546",CB
Normalzd Inc Avail to Common,"3,647","4,060","4,485","4,669","8,546",CB
Basic Normalized EPS,7.81,8.76,9.84,10.34,19.42,CB
Diluted Normalized EPS,7.74,8.70,9.77,10.30,19.28,CB
