items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Due from Banks,"348,221","273,934","198,002","204,976",BAC
Interest-Earning Deposits,"7,144","5,645","6,841","7,449",BAC
Fed. Fund/Resale,"250,720","302,108","272,430","275,247",BAC
Trading Account Assets,"247,080","313,400","294,027","293,458",BAC
Other Short Trm Invest.,"35,344","48,231","62,047","71,956",BAC
Securities Held,"674,554","672,180","658,245","643,713",BAC
Securities for Sale,"308,073","297,700","274,665","236,245",BAC
Total Invest. Securities,"982,627","969,880","932,910","879,958",BAC
Loans Held for Sale,"15,635","10,270","6,654","7,629",BAC
Other Earning Assets,"72,263","83,622","79,893","76,211",BAC
"Other Erng. Assets, Total","1,610,813","1,733,156","1,654,802","1,611,908",BAC
Total Gross Loans,"979,124","993,145","1,030,766","1,032,466",BAC
Loan Loss Allowances,"(12,387)","(12,104)","(11,973)","(12,302)",BAC
Net Loans,"966,737","981,041","1,018,793","1,020,164",BAC
Prop./Plant/Equip. - Net,"21,066","21,040","20,979","20,860",BAC
"Goodwill, Net","69,022","69,022","69,022","69,022",BAC
Intangibles - Net,"2,200","2,100","2,100","2,100",BAC
"Other Assets, Total","151,436","157,930","147,908","143,923",BAC
Total Assets,"3,169,495","3,238,223","3,111,606","3,072,953",BAC
Accrued Expenses,"200,419","219,625","214,522","224,615",BAC
Non-Interest Bearing Dep.,"811,646","814,634","768,446","718,606",BAC
Interest Bearing Deposits,"1,252,800","1,257,775","1,215,903","1,219,491",BAC
Total Deposits,"2,064,446","2,072,409","1,984,349","1,938,097",BAC
"Other Bearing Lblts, Total",290,788,785,582,BAC
Fed Funds Purch.,"192,329","214,685","204,307","215,627",BAC
Other ST Borrowings,"23,753","24,789","27,886","21,044",BAC
Total ST Borrowings,"216,082","239,474","232,193","236,671",BAC
Curr. Port. LT Dbt/Cap Ls.,"8,844","7,570","5,289","1,172",BAC
Total Long Term Debt,"270,983","270,352","269,623","267,368",BAC
Total Debt,"495,909","517,396","507,105","505,211",BAC
"Other Liabilities, Total","138,365","161,388","135,727","134,924",BAC
Total Liabilities,"2,899,429","2,971,606","2,842,488","2,803,429",BAC
"Pref. Stock-Non Rdmbl, Net","24,708","27,137","29,134","29,134",BAC
Common Stock,81,81,80,80,BAC
Additional Paid-In Capital,"62,317","59,887","59,419","59,380",BAC
Ret. Earn.(Accum. Deficit),"188,064","192,929","197,159","201,957",BAC
Unrealized Gain (Loss),"1,409","(1,777)","(3,024)","(3,674)",BAC
Cum. Trans. Adjustment,(991),(963),"(1,001)","(1,038)",BAC
Min. Pension Lblty Adj.,"(3,642)","(3,618)","(3,582)","(3,545)",BAC
Other Comprehensive Income,"(1,880)","(7,059)","(9,067)","(12,770)",BAC
"Other Equity, Total","(6,513)","(11,640)","(13,650)","(17,353)",BAC
Total Equity,"270,066","266,617","269,118","269,524",BAC
Total Liabilities & Shareholders’ Equity,"3,169,495","3,238,223","3,111,606","3,072,953",BAC
Ttl Comm. Shares Outs.,"8,078","8,062","8,035","8,024",BAC
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,BAC
Trsry Shrs-Pref. Iss. 1,0,0,0,0,BAC
