items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Interest & Fees on Loans,"6,451","6,367","6,605","7,578",COF
Inter & Divs/ Invest Securs,368,402,435,499,COF
Other Interest Income,12,15,55,123,COF
"Interest Income, Bank","6,831","6,784","7,095","8,200",COF
Interest on Deposit,222,218,293,689,COF
Inter on Other Borrowings,159,169,285,508,COF
Total Interest Expense,381,387,578,"1,197",COF
Net Interest Income,"6,450","6,397","6,517","7,003",COF
Loan Loss Provision,381,677,"1,085","1,669",COF
NetInterIn after Loan Loss Provision,"6,069","5,720","5,432","5,334",COF
Fees & Commish from Operat,435,400,415,415,COF
Fees for Other Cust Serv,"1,005","1,033","1,201","1,195",COF
Invest Securities Gains,(4),--,--,--,COF
Other Revenue,232,343,99,192,COF
"Non-Interest Income, Bank","1,668","1,776","1,715","1,802",COF
Labor & Related Expenses,"(1,941)","(2,026)","(1,946)","(2,187)",COF
Amortization of Intangibles,(13),(14),(14),(17),COF
Other Expense,"(2,724)","(2,511)","(2,623)","(2,745)",COF
"Non-Interest Expense, Bank","(4,678)","(4,551)","(4,583)","(4,949)",COF
Income Before Tax,"3,059","2,945","2,564","2,187",COF
Income Tax - Total,633,542,533,493,COF
Income After Tax,"2,426","2,403","2,031","1,694",COF
Net Inc Before Extra Items,"2,426","2,403","2,031","1,694",COF
Discontinued Operations,(1),--,0,0,COF
Extraordinary Item,--,0,--,--,COF
Total Extraordinary Items,(1),0,0,0,COF
Total Net Income,"2,425","2,403","2,031","1,694",COF
Preferred Dividends,(108),(57),(57),(57),COF
Misc Earnings Adjustment,(21),(28),(25),(21),COF
Total Adjust to Net Income,(129),(85),(82),(78),COF
Income Available to Common Excl. Extra. Items,"2,297","2,318","1,949","1,616",COF
Income Available to Common Incl. Extra. Items,"2,296","2,318","1,949","1,616",COF
Basic/Primary Weighted Average Shares,422,410,391,383,COF
Basic/Primary EPS Excl. Extra. Items,5.44,5.65,4.98,4.21,COF
Basic/Primary EPS Incl. Extra. Items,5.44,5.65,4.98,4.21,COF
Diluted Weighted Average Shares,424,412,393,385,COF
Diluted EPS Excl. Extra. Items,5.42,5.62,4.96,4.20,COF
Diluted EPS Incl. Extra. Items,5.41,5.62,4.96,4.20,COF
Div/Share-ComStockPrimIssue,0.60,0.60,0.60,0.60,COF
Gross Divid - Common Stock,622,253,237,233,COF
Pro Forma Net Income,--,--,--,--,COF
"Depreciat/Amort, Suppl",840,825,770,727,COF
Normalzd Income Before Tax,"3,059","2,945","2,564","2,187",COF
IncTxsExcl ImpctofSpec Itms,633,542,533,493,COF
Normalized Income After Tax,"2,426","2,403","2,031","1,694",COF
Normalzd Inc Avail to Common,"2,297","2,318","1,949","1,616",COF
Basic Normalized EPS,5.44,5.65,4.98,4.21,COF
Diluted Normalized EPS,5.42,5.62,4.96,4.20,COF
