items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"7,421","6,879","5,921","7,633",MA
Short Term Investments,473,449,438,412,MA
Cash and Short Term Invs,"7,894","7,328","6,359","8,045",MA
"Total Receivables, Net","4,459","4,138","4,315","4,264",MA
Prepaid Expenses,92,61,122,66,MA
Restricted Cash - Current,"2,459","2,315","2,205","2,117",MA
Other Current Assets,"2,045","2,111","2,210","2,331",MA
"Other Curr. Assets, Total","4,504","4,426","4,415","4,448",MA
Total Current Assets,"16,949","15,953","15,211","16,823",MA
Prop./Plant/Equip. - Gross,"3,521","3,636","3,686","3,739",MA
Accumulated Depreciation,"(1,614)","(1,679)","(1,736)","(1,788)",MA
Prop./Plant/Equip. - Net,"1,907","1,957","1,950","1,951",MA
"Goodwill, Net","7,662","7,625","7,519","7,176",MA
Intangibles - Gross,"5,426","5,494","5,515","5,416",MA
Accum. Intangible Amort.,"(1,755)","(1,819)","(1,839)","(1,834)",MA
Intangibles - Net,"3,671","3,675","3,676","3,582",MA
Long Term Investments,"1,834","1,772","1,634","1,678",MA
Note Rcvble - Long Term,"1,132","1,214","1,111","1,016",MA
Other Long Term Assets,"4,028","4,172","4,210","4,317",MA
Total Assets,"37,669","37,163","36,231","37,612",MA
Accounts Payable,738,666,633,615,MA
Accrued Expenses,"7,145","6,306","6,625","7,591",MA
Notes Payable/ST Debt,0,0,0,0,MA
Curr. Port. LT Dbt/Cap Ls.,792,778,735,957,MA
Customer Advances,482,586,528,461,MA
Security Deposits,"1,873","1,730","1,621","1,531",MA
Income Taxes Payable,337,445,409,383,MA
Other Payables,913,547,672,"1,054",MA
Other Current Liabilities,882,870,862,884,MA
"Other Curr. Lblts, Total","4,487","4,178","4,092","4,313",MA
Total Current Liabilities,"13,162","11,928","12,085","13,476",MA
Total Long Term Debt,"13,109","13,868","13,746","13,577",MA
Total Debt,"13,901","14,646","14,481","14,534",MA
Deferred Income Tax,395,386,371,346,MA
Minority Interest,100,96,91,82,MA
"Other Liabilities, Total","3,591","3,851","3,767","3,770",MA
Total Liabilities,"30,357","30,129","30,060","31,251",MA
Common Stock,0,0,0,0,MA
Additional Paid-In Capital,"5,061","5,026","5,163","5,269",MA
Ret. Earn.(Accum. Deficit),"45,648","47,800","49,599","51,625",MA
Treasury Stock - Common,"(42,588)","(44,994)","(47,359)","(48,916)",MA
Unrealized Gain (Loss),(1),(2),(4),(6),MA
Cum. Trans. Adjustment,(739),(791),"(1,470)","(2,151)",MA
Other Equity,0,0,0,0,MA
Min. Pension Lblty Adj.,21,21,20,20,MA
Other Comprehensive Income,(90),(26),222,520,MA
"Other Equity, Total",(808),(796),"(1,228)","(1,611)",MA
Total Equity,"7,312","7,034","6,171","6,361",MA
Total Liabilities & Shareholders’ Equity,"37,669","37,163","36,231","37,612",MA
Shr Outs.-Com. Primary Iss.,972,967,960,955,MA
Shr Outs.-Com. Stk. Iss. 2,8,8,8,8,MA
Ttl Comm. Shares Outs.,980,975,968,963,MA
Trsy. Shrs-Comm. Primary Iss.,425,431,439,444,MA
Trsy. Shrs-Comm. Iss. 2,0,0,--,0,MA
