items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"8,687","2,631","4,906","7,405",MA
Depreciation/Depletion,726,192,381,566,MA
Deferred Taxes,(69),(320),(466),(589),MA
Unusual Items,(645),76,193,133,MA
Other Non-Cash Items,"1,680",509,"1,005","1,510",MA
Non-Cash Items,"1,035",585,"1,198","1,643",MA
Accounts Receivable,(94),352,(2),(28),MA
Prepaid Expenses,"(2,087)",(441),"(1,033)","(1,472)",MA
Accounts Payable,(468),(422),(349),55,MA
Accrued Expenses,"1,354",(789),(197),887,MA
Changes in Working Capital,(916),"(1,306)","(1,780)",(930),MA
Total Cash from Operations,"9,463","1,782","4,239","8,095",MA
Purchase of Fixed Assets,(407),(146),(201),(312),MA
Purchase/Acq of Intangibles,(407),(148),(280),(446),MA
Capital Expenditures,(814),(294),(481),(758),MA
Acquisition of Business,"(4,436)",0,(313),(313),MA
Sale/Maturity of Investment,856,121,293,385,MA
"Investment, Net",0,--,--,--,MA
Purchase of Investments,(911),(119),(306),(428),MA
Other Investing Cash Flow,33,5,(5),(6),MA
"OtherInvestCashFlowItms,Tot","(4,458)",7,(331),(362),MA
Total Cash from Investing,"(5,272)",(287),(812),"(1,120)",MA
Financing Cash Flow Items,(345),(138),(142),(149),MA
Total Cash Dividends Paid,"(1,741)",(479),(956),"(1,430)",MA
"Common Stock, Net","(5,904)","(2,408)","(4,788)","(6,339)",MA
Options Exercised,61,28,68,77,MA
"Iss (Retirmnt) of Stock,Net","(5,843)","(2,380)","(4,720)","(6,262)",MA
Long Term Debt Issued,"2,024",843,843,"1,127",MA
Long Term Debt Reduction,(650),--,--,--,MA
"Iss (Retirmnt) of Debt, Net","1,374",843,843,"1,127",MA
Total Cash From Financing,"(6,555)","(2,154)","(4,975)","(6,714)",MA
Foreign Exchange Effects,(153),(28),(202),(387),MA
Net Change in Cash,"(2,517)",(687),"(1,750)",(126),MA
NetCash-BeginBal/RsvdforFutUse,"12,419","9,902","9,902","9,902",MA
NetCash-EndBal/RsrvforFutUse,"9,902","9,215","8,152","9,776",MA
"Depreciation, Supplemental",726,192,381,566,MA
