items,2017,2018,2019,2020,2021,ticker
Cash & Due from Banks,"11,602","9,396","12,147","11,524","8,337",SYF
Total Invest. Securities,"4,488","6,062","5,911","7,469","5,283",SYF
Loans Held for Sale,--,--,725,5,"4,361",SYF
"Other Erng. Assets, Total","4,488","6,062","6,636","7,474","9,644",SYF
Total Gross Loans,"81,947","93,139","87,215","81,867","80,740",SYF
Loan Loss Allowances,"(5,574)","(6,427)","(5,602)","(10,265)","(8,688)",SYF
Net Loans,"76,373","86,712","81,613","71,602","72,052",SYF
"Goodwill, Net",991,"1,024","1,078","1,078","1,105",SYF
Intangibles - Gross,"1,610","2,192","2,610","2,777","3,204",SYF
Accum. Intangible Amort.,(861),"(1,055)","(1,345)","(1,652)","(2,036)",SYF
Intangibles - Net,749,"1,137","1,265","1,125","1,168",SYF
"Other Assets, Total","1,605","2,461","2,087","3,145","3,442",SYF
Total Assets,"95,808","106,792","104,826","95,948","95,748",SYF
Accrued Expenses,"4,287","4,099","4,718","4,690","5,316",SYF
Non-Interest Bearing Dep.,212,281,277,313,359,SYF
Interest Bearing Deposits,"56,276","63,738","64,877","62,469","61,911",SYF
Total Deposits,"56,488","64,019","65,154","62,782","62,270",SYF
Total Long Term Debt,"20,799","23,996","19,866","15,775","14,507",SYF
Total Debt,"20,799","23,996","19,866","15,775","14,507",SYF
Total Liabilities,"81,574","92,114","89,738","83,247","82,093",SYF
"Pref. Stock-Non Rdmbl, Net",--,--,734,734,734,SYF
Common Stock,1,1,1,1,1,SYF
Additional Paid-In Capital,"9,445","9,482","9,537","9,570","9,669",SYF
Ret. Earn.(Accum. Deficit),"6,809","8,986","12,117","10,621","14,245",SYF
Treasury Stock - Common,"(1,957)","(3,729)","(7,243)","(8,174)","(10,925)",SYF
Unrealized Gain (Loss),(19),(32),(1),25,4,SYF
Cum. Trans. Adjustment,(17),(25),(24),(22),(26),SYF
Min. Pension Lblty Adj.,(28),(5),(33),(54),(47),SYF
"Other Equity, Total",(45),(30),(57),(76),(73),SYF
Total Equity,"14,234","14,678","15,088","12,701","13,655",SYF
Total Liabilities & Shareholders’ Equity,"95,808","106,792","104,826","95,948","95,748",SYF
Ttl Comm. Shares Outs.,771,719,616,584,527,SYF
Trsy. Shrs-Comm. Primary Iss.,63,115,218,250,307,SYF
Trsry Shrs-Pref. Iss. 1,--,--,0,0,0,SYF
