items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"48,334","8,282","16,931","26,668",JPM
Depreciation/Depletion,"7,932","1,820","3,609","5,380",JPM
Deferred Taxes,"3,748",(730),"(2,086)","(3,455)",JPM
Non-Cash Items,"3,274","1,200","2,172","3,815",JPM
"Cash Taxes Pd, Supplemental","18,737",705,"3,100",226,JPM
"Cash Interest Pd, Suppl","5,142","1,088","4,457","11,075",JPM
Loan Loss Provision,"(9,256)","1,463","2,564","4,101",JPM
Other Assets,"61,564","(139,613)","(111,797)","(172,741)",JPM
Payable/Accrued,"43,162","64,738","70,976","75,961",JPM
Changes in Working Capital,"14,796","(52,489)","3,475","(26,511)",JPM
Total Cash from Operations,"78,084","(41,917)","24,101","5,897",JPM
Sale/Maturity of Investment,"263,720","37,774","79,082","126,440",JPM
Purchase of Investments,"(360,541)","(58,580)","(93,690)","(104,533)",JPM
Loans,"(55,952)","(8,198)","(45,617)","(59,952)",JPM
Other Investing Cash Flow,"23,429","(43,604)","(65,586)","(48,244)",JPM
Total Cash from Investing,"(129,344)","(72,608)","(125,811)","(86,289)",JPM
Deposits,"293,764","99,691","5,841","(44,336)",JPM
Fed. Funds/REPOs,"(20,799)","29,600","28,586","45,910",JPM
Other Financing Cash Flow,"(1,477)",(543),423,"1,158",JPM
Financing Cash Flow Items,"271,488","128,748","34,850","2,732",JPM
Cash Divids Paid - Common,"(11,258)","(3,033)","(5,967)","(8,947)",JPM
Cash Divs Paid - Preferred,"(1,600)",(397),(807),"(1,239)",JPM
Total Cash Dividends Paid,"(12,858)","(3,430)","(6,774)","(10,186)",JPM
"Common Stock, Net","(18,408)","(2,455)","(3,162)","(3,162)",JPM
Sale/Issuance of Preferred,"7,350",0,0,0,JPM
Repurch/Retirement Preferd,"(2,575)","(2,000)","(2,000)","(2,000)",JPM
"Preferred Stock, Net","4,775","(2,000)","(2,000)","(2,000)",JPM
"Iss (Retirmnt) of Stock,Net","(13,633)","(4,455)","(5,162)","(5,162)",JPM
"Short Term Debt, Net","7,773","4,300","5,622","(4,813)",JPM
Long Term Debt Issued,"82,409","20,651","45,873","68,944",JPM
Long Term Debt Reduction,"(54,932)","(13,094)","(25,991)","(37,470)",JPM
"Long Term Debt, Net","23,223","7,609","20,434","33,516",JPM
"Iss (Retirmnt) of Debt, Net","30,996","11,909","26,056","28,703",JPM
Total Cash From Financing,"275,993","132,772","48,970","16,087",JPM
Foreign Exchange Effects,"(11,508)","(4,549)","(18,834)","(32,342)",JPM
Net Change in Cash,"213,225","13,698","(71,574)","(96,647)",JPM
NetCash-BeginBal/RsvdforFutUse,"527,609","740,834","740,834","740,834",JPM
NetCash-EndBal/RsrvforFutUse,"740,834","754,532","669,260","644,187",JPM
"Depreciation, Supplemental","7,932","1,820","3,609","5,380",JPM
