items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"5,197","4,861","4,583","6,659",PYPL
Short Term Investments,"4,303","3,104","4,723","4,190",PYPL
Cash and Short Term Invs,"9,500","7,965","9,306","10,849",PYPL
"Trade Accts Recvble, Net",800,850,867,889,PYPL
Notes Recvble - Short Term,"4,846","5,223","5,749","6,002",PYPL
Other Receivables,"36,141","37,046","37,221","34,824",PYPL
"Total Receivables, Net","41,787","43,119","43,837","41,715",PYPL
Prepaid Expenses,"1,287","1,298","2,109","2,541",PYPL
Total Current Assets,"52,574","52,382","55,252","55,105",PYPL
Prop./Plant/Equip. - Net,"2,568","2,554","2,474","2,361",PYPL
"Goodwill, Net","11,454","11,370","11,146","11,053",PYPL
Intangibles - Gross,"3,694","3,666","3,585","3,538",PYPL
Accum. Intangible Amort.,"(2,362)","(2,481)","(2,584)","(2,683)",PYPL
Intangibles - Net,"1,332","1,185","1,001",855,PYPL
LT Invt. - Affiliate Comp.,"1,300","1,600","1,700","1,900",PYPL
LT Investments - Other,"5,497","5,545","4,570","3,315",PYPL
Long Term Investments,"6,797","7,145","6,270","5,215",PYPL
Other Long Term Assets,"1,078","1,169","1,667","1,846",PYPL
Total Assets,"75,803","75,805","77,810","76,435",PYPL
Accounts Payable,"39,038","39,886","40,377","37,938",PYPL
Accrued Expenses,"2,756","2,829","3,704","4,220",PYPL
Notes Payable/ST Debt,0,0,0,0,PYPL
Curr. Port. LT Dbt/Cap Ls.,999,999,418,418,PYPL
"Other Curr. Lblts, Total",236,253,596,652,PYPL
Total Current Liabilities,"43,029","43,967","45,095","43,228",PYPL
Total Long Term Debt,"8,049","8,222","10,198","10,241",PYPL
Total Debt,"9,048","9,221","10,616","10,659",PYPL
Minority Interest,0,--,--,--,PYPL
"Other Liabilities, Total","2,998","3,013","2,750","2,702",PYPL
Total Liabilities,"54,076","55,202","58,043","56,171",PYPL
Common Stock,0,0,0,0,PYPL
Additional Paid-In Capital,"17,208","17,383","17,758","17,981",PYPL
Ret. Earn.(Accum. Deficit),"16,535","17,044","16,703","18,033",PYPL
Treasury Stock - Common,"(11,880)","(13,380)","(14,130)","(15,069)",PYPL
Unrealized Gain (Loss),(87),(380),(544),(701),PYPL
Cum. Trans. Adjustment,(270),(365),(665),(871),PYPL
Other Equity,0,0,0,0,PYPL
Other Comprehensive Income,221,301,645,891,PYPL
"Other Equity, Total",(49),(64),(20),20,PYPL
Total Equity,"21,727","20,603","19,767","20,264",PYPL
Total Liabilities & Shareholders’ Equity,"75,803","75,805","77,810","76,435",PYPL
Ttl Comm. Shares Outs.,"1,168","1,161","1,156","1,147",PYPL
Trsy. Shrs-Comm. Primary Iss.,132,143,151,161,PYPL
