items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,367,549,466,442,TDS
Short Term Investments,0,--,--,--,TDS
Cash and Short Term Invs,367,549,466,442,TDS
"Trade Accts Recvble, Gross","1,118","1,109","1,118","1,140",TDS
Prov. for Doubtful Accts,(60),(63),(63),(70),TDS
"Trade Accts Recvble, Net","1,068","1,055","1,064","1,081",TDS
Other Receivables,277,135,157,171,TDS
"Total Receivables, Net","1,345","1,190","1,221","1,252",TDS
Total Inventory,178,184,213,252,TDS
Prepaid Expenses,103,109,106,94,TDS
Restricted Cash - Current,47,47,39,39,TDS
Other Current Assets,4,6,6,7,TDS
"Other Curr. Assets, Total",51,53,45,46,TDS
Total Current Assets,"2,044","2,085","2,051","2,086",TDS
Prop./Plant/Equip. - Gross,"14,265","14,423","14,723","14,928",TDS
Accumulated Depreciation,"(9,904)","(10,038)","(10,170)","(10,281)",TDS
Prop./Plant/Equip. - Net,"5,401","5,418","5,575","5,657",TDS
"Goodwill, Net",547,547,547,547,TDS
Intangibles - Gross,288,294,308,316,TDS
Accum. Intangible Amort.,(91),(95),(100),(106),TDS
Intangibles - Net,"4,294","4,885","4,894","4,899",TDS
Long Term Investments,479,506,483,503,TDS
Other Long Term Assets,710,668,675,758,TDS
Total Assets,"13,493","14,124","14,242","14,479",TDS
Accounts Payable,481,388,443,506,TDS
Accrued Expenses,288,241,255,273,TDS
Notes Payable/ST Debt,0,0,0,0,TDS
Curr. Port. LT Dbt/Cap Ls.,6,9,11,16,TDS
Customer Advances,236,245,243,266,TDS
Income Taxes Payable,45,43,42,48,TDS
Other Current Liabilities,124,189,240,300,TDS
"Other Curr. Lblts, Total",405,477,525,614,TDS
Total Current Liabilities,"1,180","1,115","1,234","1,409",TDS
Total Long Term Debt,"2,928","3,567","3,463","3,608",TDS
Total Debt,"2,934","3,576","3,474","3,624",TDS
Deferred Income Tax,921,948,971,967,TDS
Minority Interest,818,813,816,798,TDS
Other LT Liabilities,"1,719","1,721","1,819","1,793",TDS
Discont. Ops. - Lblts,0,--,--,--,TDS
"Other Liabilities, Total","1,719","1,721","1,819","1,793",TDS
Total Liabilities,"7,566","8,164","8,303","8,575",TDS
"Pref. Stock-Non Rdmbl, Net","1,074","1,074","1,074","1,074",TDS
Common Stock,1,1,1,1,TDS
Additional Paid-In Capital,"2,496","2,511","2,511","2,527",TDS
Ret. Earn.(Accum. Deficit),"2,812","2,824","2,810","2,763",TDS
Treasury Stock - Common,(461),(456),(463),(468),TDS
"Other Equity, Total",5,6,6,7,TDS
Total Equity,"5,927","5,960","5,939","5,904",TDS
Total Liabilities & Shareholders’ Equity,"13,493","14,124","14,242","14,479",TDS
Shr Outs.-Com. Primary Iss.,108,108,107,107,TDS
Shr Outs.-Com. Stk. Iss. 3,7,7,7,7,TDS
Ttl Comm. Shares Outs.,115,115,114,114,TDS
Trsy. Shrs-Comm. Primary Iss.,18,18,19,19,TDS
Trsry Shrs-Pref. Iss. 1,--,0,0,0,TDS
