items,2018,2019,2020,2021,2022,ticker
Total Revenue,"21,529","21,640","21,928","24,043","24,568",RAD
"Cost of Revenue, Total","16,749","16,963","17,202","19,318","19,462",RAD
"Sell/Gen/AdminExpenses,Tot","4,651","4,592","4,482","4,594","4,999",RAD
Restructuring Charge,--,--,106,85,35,RAD
Impair-Assets Held for Use,262,439,40,76,380,RAD
Other Unusual Expnse (In),(266),45,(53),(41),38,RAD
Unusual Expense (Income),(5),484,93,120,453,RAD
Total Operating Expense,"21,396","22,039","21,776","24,031","24,913",RAD
Total Operating Income,133,(400),152,12,(345),RAD
Gain(Loss)on Sale of Assets,26,38,(4),69,(6),RAD
Income Before Tax,(44),(589),(82),(120),(542),RAD
Income Tax - Total,(19),77,388,(20),(4),RAD
Income After Tax,(25),(667),(469),(100),(538),RAD
Net Inc Before Extra Items,(25),(667),(469),(100),(538),RAD
Discontinued Operations,"2,043",336,24,13,0,RAD
Extraordinary Item,(325),0,0,--,--,RAD
Tax on Extraordinary Items,(750),(91),(7),(4),--,RAD
Total Extraordinary Items,968,245,17,9,0,RAD
Total Net Income,943,(422),(452),(91),(538),RAD
Income Available to Common Excl. Extra. Items,(25),(667),(469),(100),(538),RAD
Income Available to Common Incl. Extra. Items,943,(422),(452),(91),(538),RAD
Basic/Primary Weighted Average Shares,52,53,53,54,54,RAD
Basic/Primary EPS Excl. Extra. Items,(0.47),(12.62),(8.82),(1.87),(9.96),RAD
Basic/Primary EPS Incl. Extra. Items,17.98,(7.99),(8.50),(1.69),(9.96),RAD
Diluted Weighted Average Shares,52,53,53,54,54,RAD
Diluted EPS Excl. Extra. Items,(0.47),(12.62),(8.82),(1.87),(9.96),RAD
Diluted EPS Incl. Extra. Items,17.98,(7.99),(8.50),(1.69),(9.96),RAD
Gross Divid - Common Stock,0,0,0,0,0,RAD
Pro Forma Net Income,--,--,--,--,--,RAD
"Interest Expense, Suppl",203,228,230,201,192,RAD
"Depreciat/Amort, Suppl",238,232,224,238,218,RAD
Total Special Items,(30),506,101,65,527,RAD
Normalzd Income Before Tax,(74),(83),19,(55),(16),RAD
Efct/SpecItemsIncTxs (STEC),(11),177,35,23,184,RAD
IncTxsExcl ImpctofSpec Itms,(29),255,423,3,181,RAD
Normalized Income After Tax,(45),(338),(404),(58),(196),RAD
Normalzd Inc Avail to Common,(45),(338),(404),(58),(196),RAD
Basic Normalized EPS,(0.85),(6.39),(7.59),(1.08),(3.63),RAD
Diluted Normalized EPS,(0.85),(6.39),(7.59),(1.08),(3.63),RAD
