items,2018,2019,2020,2021,2022,ticker
Net Income,"1,539","1,589","1,713","2,655","2,399",DG
Depreciation/Depletion,404,454,505,574,641,DG
Deferred Taxes,(138),52,55,35,114,DG
Unusual Items,4,1,0,--,--,DG
Other Non-Cash Items,45,83,57,80,269,DG
Non-Cash Items,49,84,57,80,269,DG
"Cash Taxes Pd, Supplemental",661,313,457,722,568,DG
"Cash Interest Pd, Suppl",89,98,100,128,160,DG
Inventories,(348),(521),(579),(576),(550),DG
Prepaid Expenses,(49),(12),(14),(17),(47),DG
Accounts Payable,428,375,429,746,99,DG
Accrued Expenses,76,66,100,389,(37),DG
Changes in Working Capital,(52),(36),(92),532,(558),DG
Total Cash from Operations,"1,802","2,144","2,238","3,876","2,866",DG
Capital Expenditures,(646),(734),(785),"(1,028)","(1,070)",DG
"OtherInvestCashFlowItms,Tot",1,3,2,3,5,DG
Total Cash from Investing,(645),(732),(782),"(1,025)","(1,066)",DG
Financing Cash Flow Items,(1),11,20,43,62,DG
Total Cash Dividends Paid,(283),(307),(328),(356),(392),DG
"Iss (Retirmnt) of Stock,Net",(580),"(1,007)","(1,200)","(2,466)","(2,550)",DG
"Short Term Debt, Net",(60),(63),58,(425),54,DG
Long Term Debt Issued,600,499,0,"1,794",0,DG
Long Term Debt Reduction,(753),(577),(1),(305),(6),DG
"Long Term Debt, Net",(153),(78),(1),"1,490",(6),DG
"Iss (Retirmnt) of Debt, Net",(213),(141),57,"1,064",48,DG
Total Cash From Financing,"(1,078)","(1,444)","(1,451)","(1,715)","(2,832)",DG
Net Change in Cash,80,(32),5,"1,136","(1,032)",DG
NetCash-BeginBal/RsvdforFutUse,188,267,235,240,"1,377",DG
NetCash-EndBal/RsrvforFutUse,267,235,240,"1,377",345,DG
"Depreciation, Supplemental",404,454,505,574,641,DG
