items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Cash and Short Term Invs,345,336,326,363,DG
"Total Receivables, Net",97,34,93,188,DG
Total Inventory,"5,614","6,087","6,936","7,145",DG
Prepaid Expenses,247,280,327,321,DG
Total Current Assets,"6,304","6,737","7,683","8,017",DG
Prop./Plant/Equip. - Net,"14,439","14,634","14,967","15,397",DG
"Goodwill, Net","4,339","4,339","4,339","4,339",DG
Intangibles - Net,"1,200","1,200","1,200","1,200",DG
Other Long Term Assets,46,47,51,55,DG
Total Assets,"26,327","26,956","28,239","29,007",DG
Accounts Payable,"3,739","3,907","4,358","4,127",DG
Accrued Expenses,"2,233","2,135","2,301","2,368",DG
Notes Payable/ST Debt,0,0,0,0,DG
Curr. Port. LT Dbt/Cap Ls.,--,901,901,--,DG
"Other Curr. Lblts, Total",8,9,7,8,DG
Total Current Liabilities,"5,979","6,952","7,567","6,503",DG
Total Long Term Debt,"4,172","3,947","4,291","5,986",DG
Total Debt,"4,172","4,848","5,191","5,986",DG
Deferred Income Tax,825,907,907,992,DG
"Other Liabilities, Total","9,089","9,188","9,286","9,432",DG
Total Liabilities,"20,065","20,995","22,051","22,913",DG
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,DG
Common Stock,201,199,197,196,DG
Additional Paid-In Capital,"3,588","3,606","3,628","3,676",DG
Ret. Earn.(Accum. Deficit),"2,474","2,158","2,364","2,223",DG
"Other Equity, Total",(1),(1),(1),(1),DG
Total Equity,"6,262","5,962","6,188","6,094",DG
Total Liabilities & Shareholders’ Equity,"26,327","26,956","28,239","29,007",DG
Ttl Comm. Shares Outs.,230,227,226,224,DG
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,DG
