items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Net Income,"3,283",587,"1,397","2,460",TJX
Depreciation/Depletion,868,220,438,656,TJX
Deferred Taxes,(44),12,26,35,TJX
Unusual Items,251,222,223,224,TJX
Other Non-Cash Items,189,27,58,95,TJX
Non-Cash Items,440,249,281,319,TJX
Accounts Receivable,(140),(5),(45),(96),TJX
Inventories,"(1,658)","(1,085)","(1,207)","(2,545)",TJX
Prepaid Expenses,33,(33),(50),(72),TJX
Accounts Payable,(338),(53),(311),647,TJX
Accrued Expenses,530,(569),(387),(235),TJX
Changes in Working Capital,"(1,489)","(1,702)","(2,135)","(2,410)",TJX
Total Cash from Operations,"3,057",(634),6,"1,059",TJX
Capital Expenditures,"(1,045)",(314),(693),"(1,100)",TJX
Sale/Maturity of Investment,20,6,11,16,TJX
Purchase of Investments,(22),(16),(21),(26),TJX
"OtherInvestCashFlowItms,Tot",(2),(10),(10),(10),TJX
Total Cash from Investing,"(1,046)",(324),(703),"(1,110)",TJX
Financing Cash Flow Items,(26),(32),(32),(32),TJX
Total Cash Dividends Paid,"(1,252)",(309),(655),(998),TJX
Sale/Issuance of Common,229,18,50,115,TJX
Repurch/Retirement Common,"(2,176)",(607),"(1,307)","(1,800)",TJX
"Iss (Retirmnt) of Stock,Net","(1,947)",(589),"(1,257)","(1,685)",TJX
Long Term Debt Reduction,"(2,976)",0,0,0,TJX
"Iss (Retirmnt) of Debt, Net","(2,976)",0,0,0,TJX
Total Cash From Financing,"(6,200)",(931),"(1,945)","(2,715)",TJX
Foreign Exchange Effects,(54),(42),(54),(96),TJX
Net Change in Cash,"(4,243)","(1,932)","(2,696)","(2,862)",TJX
NetCash-BeginBal/RsvdforFutUse,"10,470","6,227","6,227","6,227",TJX
NetCash-EndBal/RsrvforFutUse,"6,227","4,295","3,531","3,365",TJX
"Depreciation, Supplemental",868,220,438,656,TJX
